Scrape started at 2025-12-09 21:02:55.337802+05:30
[2025-12-09 21:02:55] --- Starting DishTV Scraper ---
[2025-12-09 21:03:04] DISH SUCCESS: 142517 -> abn-andhra-jyothy.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 144478 -> zee-tv.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158135 -> aastha-gujarati.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158133 -> aastha.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158133 -> aastha.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142517 -> abn-andhra-jyothy.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142514 -> aastha-bhajan.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 143831 -> star-plus.json (09/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 142514 -> aastha-bhajan.json (10/12/2025)
[2025-12-09 21:03:04] DISH SUCCESS: 158134 -> aastha-kannada.json (10/12/2025)
[2025-12-09 21:03:05] DISH SUCCESS: 142495 -> 10tv.json (10/12/2025)
[2025-12-09 21:03:05] --- Starting XMLTV Scraper ---
[2025-12-09 21:03:05] Downloading XMLTV: https://avkb.short.gy/tsepg.xml.gz
[2025-12-09 21:03:05] Parsed 453 channels from Tata Play
[2025-12-09 21:03:05] Downloading XMLTV: https://avkb.short.gy/jioepg.xml.gz
[2025-12-09 21:03:09] Parsed 1036 channels from Jio TV
[2025-12-09 21:03:09] Filtering 1293 scraped channels against 10 allowed files.
[2025-12-09 21:03:09] XMLTV Save Complete. 8 channels saved successfully from 10 requested.
[2025-12-09 21:03:09] --- All Scraping Done ---
